stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
BMRN,2019-12-31,240981000.0,680275000.0,486238000.0,377404000.0,2468762000.0,411978000.0,1942143000.0,1070302000.0,10203000.0,549422000.0,932503000.0,437446000.0,611997000.0,10203000.0,197039000.0,98117000.0,-1720709000.0,130657000.0,180000.0,4690039000.0,30118000.0,,3122381000.0,1567658000.0,4832707000.0,456580000.0,316361000.0,,
BMRN,2019-09-30,226769000.0,609049000.0,843616000.0,402970000.0,2414517000.0,431804000.0,1859359000.0,1030930000.0,27042000.0,525131000.0,493745000.0,423220000.0,576147000.0,27042000.0,197039000.0,91319000.0,-1735733000.0,126548000.0,180000.0,4558128000.0,33308000.0,,3074405000.0,1483723000.0,4782916000.0,462849000.0,297572000.0,,
BMRN,2019-06-30,223947000.0,578736000.0,839165000.0,377150000.0,2287283000.0,374965000.0,1806768000.0,1022765000.0,7228000.0,475554000.0,439428000.0,307577000.0,515215000.0,7228000.0,197039000.0,99958000.0,-1790769000.0,119779000.0,179000.0,4393384000.0,22767000.0,,2960954000.0,1432430000.0,4744316000.0,476632000.0,423526000.0,,
QNST,2020-03-31,40065000.0,,,73367000.0,137843000.0,,179260000.0,15861000.0,-249000.0,48944000.0,90896000.0,97139000.0,54027000.0,-249000.0,81179000.0,10651000.0,-50023000.0,1000000.0,52000.0,360512000.0,8908000.0,4500000.0,249207000.0,111305000.0,299427000.0,30185000.0,,,
QNST,2019-12-31,34298000.0,,,69612000.0,120083000.0,,150970000.0,16833000.0,-319000.0,52495000.0,82712000.0,76124000.0,57813000.0,-319000.0,82544000.0,12052000.0,-63942000.0,1000000.0,52000.0,339404000.0,10135000.0,4700000.0,233871000.0,105533000.0,298080000.0,31244000.0,,,
QNST,2019-09-30,40020000.0,,,74615000.0,112369000.0,,151300000.0,17514000.0,-335000.0,52048000.0,87573000.0,70517000.0,57722000.0,-335000.0,82544000.0,14744000.0,-65491000.0,1000000.0,51000.0,342258000.0,9854000.0,5000000.0,228091000.0,114167000.0,293866000.0,33178000.0,,,
QNST,2019-06-30,37093000.0,,,76671000.0,105167000.0,,143378000.0,5410000.0,-366000.0,52149000.0,83699000.0,62522000.0,58161000.0,-366000.0,82544000.0,18083000.0,-66623000.0,1681000.0,50000.0,324611000.0,9728000.0,5300000.0,222829000.0,101782000.0,289768000.0,35118000.0,,,
CRWS,2020-03-29,2972000.0,17732000.0,,17803000.0,29734000.0,,37041000.0,6896000.0,,439000.0,6479000.0,282000.0,534000.0,-12408000.0,7125000.0,721000.0,1108000.0,,126000.0,57173000.0,992000.0,,42436000.0,14737000.0,53610000.0,5577000.0,,,
CRWS,2019-12-29,7864000.0,23640000.0,,15545000.0,28647000.0,,41564000.0,7231000.0,,344000.0,14019000.0,41000.0,439000.0,-12408000.0,7125000.0,1017000.0,313000.0,,126000.0,62150000.0,3500000.0,,41563000.0,20587000.0,53532000.0,5791000.0,,,
CRWS,2019-09-29,6416000.0,21941000.0,,14214000.0,29617000.0,,37349000.0,3126000.0,,351000.0,9679000.0,200000.0,446000.0,-12343000.0,7125000.0,970000.0,1573000.0,,126000.0,54051000.0,966000.0,,42747000.0,11304000.0,53391000.0,6005000.0,,,
CRWS,2019-06-30,6688000.0,20449000.0,,12471000.0,28362000.0,,37523000.0,3422000.0,,612000.0,11622000.0,3467000.0,707000.0,-12343000.0,7125000.0,921000.0,607000.0,,125000.0,54995000.0,1017000.0,,41705000.0,13290000.0,53316000.0,6218000.0,,,
BJRI,2020-03-31,28547000.0,10517000.0,231800000.0,13503000.0,267231000.0,,112580000.0,961340000.0,,,138765000.0,80309000.0,34438000.0,,4673000.0,23624000.0,208778000.0,,,1113031000.0,21912000.0,,271904000.0,841127000.0,63126000.0,,,,
BJRI,2019-12-31,23422000.0,11102000.0,143000000.0,22197000.0,285614000.0,,64605000.0,966994000.0,,,158431000.0,22394000.0,35812000.0,,4673000.0,32033000.0,223225000.0,,,1072084000.0,33163000.0,,290287000.0,781797000.0,67062000.0,,,,
BJRI,2019-10-01,29167000.0,10472000.0,158000000.0,15896000.0,281892000.0,,55295000.0,963373000.0,,,144869000.0,24373000.0,34861000.0,,4673000.0,29911000.0,221319000.0,,,1058202000.0,20593000.0,,286565000.0,771637000.0,65246000.0,,,,
BJRI,2019-07-02,33114000.0,10589000.0,100000000.0,17714000.0,319563000.0,,57626000.0,958957000.0,,,156239000.0,23376000.0,34264000.0,,4673000.0,31928000.0,260806000.0,,,1055520000.0,22228000.0,,324236000.0,731284000.0,63430000.0,,,,
MSTR,2020-03-31,22090000.0,,,126035000.0,461426000.0,,693062000.0,130313000.0,-10198000.0,18139000.0,252637000.0,429276000.0,25896000.0,-719825000.0,,34957000.0,584146000.0,2742000.0,18000.0,849271000.0,185791000.0,,461426000.0,387845000.0,597087000.0,,109946000.0,,
MSTR,2019-12-31,23417000.0,,,164716000.0,508559000.0,,753446000.0,135692000.0,-9651000.0,19409000.0,269818000.0,456727000.0,27433000.0,-668531000.0,,34770000.0,583489000.0,1089000.0,18000.0,916571000.0,188007000.0,,508559000.0,408012000.0,593583000.0,,108919000.0,,
MSTR,2019-09-30,18414000.0,,,119102000.0,515419000.0,,721754000.0,138987000.0,-11674000.0,20520000.0,230699000.0,375071000.0,27975000.0,-646079000.0,,37307000.0,571322000.0,798000.0,18000.0,888716000.0,161144000.0,,515419000.0,373297000.0,590158000.0,,203218000.0,,
MSTR,2019-06-30,22136000.0,,,129944000.0,502689000.0,,727288000.0,143916000.0,-9310000.0,20535000.0,250647000.0,261497000.0,28516000.0,-643715000.0,,38201000.0,561622000.0,1039000.0,18000.0,899720000.0,177686000.0,,502689000.0,397031000.0,584764000.0,,313349000.0,,
CVBF,2020-03-31,9113604000.0,4889000.0,25774000.0,10473000.0,1237138000.0,2339698000.0,805010000.0,69784000.0,38406000.0,,9520953000.0,705739000.0,7688148000.0,38406000.0,663707000.0,104470000.0,694931000.0,26855000.0,1208049000.0,11606888000.0,,,1941386000.0,9665502000.0,,40541000.0,23799000.0,,
CVBF,2019-12-31,8704928000.0,4889000.0,25774000.0,9346000.0,1287405000.0,2490389000.0,248879000.0,72500000.0,12614000.0,,9152337000.0,185518000.0,7763989000.0,12614000.0,663707000.0,96097000.0,682692000.0,28122000.0,1298792000.0,11282450000.0,,,1994098000.0,9288352000.0,,42986000.0,2931000.0,,
CVBF,2019-09-30,8794330000.0,9450000.0,25774000.0,44630000.0,1257740000.0,2292047000.0,540725000.0,70596000.0,12096000.0,,9225247000.0,437548000.0,7720241000.0,12096000.0,663707000.0,96263000.0,656659000.0,27244000.0,1298138000.0,11332762000.0,,,1966893000.0,9365869000.0,,45446000.0,5673000.0,,
CVBF,2019-06-30,8662823000.0,2275000.0,25774000.0,49581000.0,1224876000.0,2345821000.0,274346000.0,72122000.0,8280000.0,,9095583000.0,175840000.0,7767493000.0,8280000.0,663707000.0,92392000.0,631512000.0,29481000.0,1296885000.0,11171583000.0,,,1936677000.0,9234906000.0,,48094000.0,6425000.0,,
RVMD,2020-03-31,,,,,308962000.0,,,,,,,,,,,,,,,,,,385316000.0,,,,,,
RVMD,2019-12-31,,,,,-229195000.0,,,,,,,,,,,,,,,,,,-152574000.0,,,,,,
RVMD,2019-03-31,,,,,-186112000.0,,,,,,,,,,,,,,,,,,-108422000.0,,,,,,
RVMD,2018-12-31,,,,,-186112000.0,,,,,,,,,,,,,,,,,,-108422000.0,,,,,,
ALKS,2020-03-31,43177000.0,109314000.0,273751000.0,260915000.0,829230000.0,53744000.0,912584000.0,477087000.0,-1499000.0,92781000.0,339849000.0,176067000.0,148743000.0,-127168000.0,92873000.0,48322000.0,-1420642000.0,,1615000.0,1825946000.0,6819000.0,,1063018000.0,762928000.0,2609213000.0,140915000.0,319927000.0,2843000.0,
